#7000And1 #7000And1
#Adaptxt #Adaptxt
#BBC #BBC
#BBCALBA #BBCALBA
#BBCAlba #BBCAlba
#BBCRNG #BBCRNG
#BBCRadionanGaidheal #BBCRadionanGaidheal
#BBCRnG #BBCRnG
#Blas13 #Blas13
#Blas2013 #Blas2013
#Buille #Buille
#Celtic #Celtic
#Christmas #Christmas
#Cymraeg #Cymraeg
#Edinburgh #Edinburgh
#FF #FF
#Firefox #Firefox
#Folk #Folk
#Frysk #Frysk
#Fuaim #Fuaim
#Gaeilge #Gaeilge
#Gaelg #Gaelg
#Gaelic #Gaelic
#Glasgow #Glasgow
#Gàidhlig #Gàidhlig
#Hebrides #Hebrides
#Irish #Irish
#Islay #Islay
#Kernewek #Kernewek
#LibreOffice #LibreOffice
#Mòd #Mòd
#OiPolloi #OiPolloi
#PDConf #PDConf
#RNG #RNG
#Rapal #Rapal
#RunKeeper #RunKeeper
#SMO #SMO
#SP #SP
#SP4 #SP4
#Scotland #Scotland
#Skye #Skye
#SongForToday #SongForToday
#Theatre #Theatre
#Uibhist #Uibhist
#abairthusa #abairthusa
#aland #aland
#anam #anam
#anla #anla
#bbc #bbc
#bbcalba #bbcalba
#blackpool #blackpool
#books #books
#ceol #ceol
#craic #craic
#cymraeg #cymraeg
#cymru #cymru
#dubhisgorm #dubhisgorm
#ff #ff
#ga #ga
#gaeilge #gaeilge
#gael #gael
#gaelg #gaelg
#gaelic #gaelic
#gaidhl #gaidhl
#glasgow #glasgow
#gàidhlig #gàidhlig
#holyrood #holyrood
#imld14 #imld14
#indyref #indyref
#islandfootie #islandfootie
#learngaelic #learngaelic
#pdconf #pdconf
#rnag #rnag
#rng #rng
#runrig #runrig
#scotland #scotland
#sp11 #sp11
#sp4 #sp4
#starlink #starlink
#ulpangaelic #ulpangaelic
#vorarlberg #vorarlberg
#Ìle #Ìle
#Ùlpan #Ùlpan
ceisdean ceisteanna
ceisdean gceisteanna
ceist ceist
ceist gceist
ceiste ceiste
ceiste gceiste
ceistean ceisteanna
ceistean gceisteanna
ceithear ceathair
ceithear gceathair
ceitheir ceathair
ceitheir gceathair
ceithir ceathair
ceithir ceithre
ceithir gceathair
ceithir-cheàrnach ceathairshleasach
ceithir-cheàrnach ceathairshleasacha
ceithir-cheàrnach ceathairshleasán
ceithir-cheàrnach gceathairshleasán
ceithir-cheàrnaich ceathairshleasaigh
ceithir-cheàrnaich ceathairshleasáin
ceithir-cheàrnaich ceathairshleasán
ceithir-cheàrnaich gceathairshleasáin
ceithir-cheàrnaich gceathairshleasán
ceithir-cheàrnaiche ceathairshleasaí
ceithre ceathair
ceithre gceathair
celsius celsius
cent cent
ceudna céanna
ceuim céime
ceuim gcéime
ceum céim
ceum gcéim
ceuma céime
ceuma gcéime
ceuman céimeanna
ceuman gcéimeanna
ceumanan céimeanna
ceumanan gcéimeanna
ceumannan céimeanna
ceumannan gcéimeanna
cf cf
ch ch
chaidh chuaigh
chaidh dtéigh
chaidh gcuaigh
chaidh théigh
chaidheas chuathas
chaidheas dtéadh
chaidheas gcuathas
chaidheas théadh
chaidheas téadh
chairdean chairde
chairteil chairtéal
chairteil chairtéil
chairteilean chairtéal
chairteilean chairtéil
chaiseal chaisleán
chaisealan chaisleáin
chaisealan chaisleán
chaiseil chaisleáin
chaisteal chaisleán
chaistealan chaisleáin
chaistealan chaisleán
chaisteil chaisleáin
chance chance
change change
chaochail d'éag
chaochail n-éag
chaochail éag
chaochaileadh d'éagfadh
chaochaileadh n-éagadh
chaochaileadh éagadh
chaochaileadh éagfadh
chaochaileam éagaim
chaochaileamaid d'éagfaimis
chaochaileamaid éagaimis
chaochaileamaid éagfaimis
chaochailear n-éagfar
chaochailear éagfar
chaochailear éagtar
chaochaileas n-éagfaidh
chaochaileas éagfaidh
chaochailibh éagaigí
chaochailidh éagfaidh
chaochailinn d'éagfainn
chaochailinn éagfainn
chaochailte éagtha
chaochladh athrú
chaochladh chlaochlú
chaochladh éagsúlacht
chaochlaidh athraithe
chaochlaidh chlaochlú
chaochlaidh éagsúlachta
chaochlaidhean athruithe
chaochlaidhean chlaochluithe
chaochlaidhean éagsúlachtaí
chaol-ghèidse chaoil
chaol-ghèidse chaoile
chaol-ghèidse chaol
chaol-ghèidse chaola
charaid chara
charaide charad
charaidean chairde
cheangail cheangail
cheangail naisc
cheangail theagmhála
cheangal cheangal
cheangal nasc
cheangal theagmháil
cheangalan cheangail
cheangalan cheangal
cheangalan naisc
cheangalan nasc
cheangalan theagmhálacha
cheanglaichean cheangail
cheanglaichean cheangal
cheanglaichean naisc
cheanglaichean nasc
cheanglaichean theagmhálacha
cheanglan cheangail
cheanglan cheangal
cheanglan naisc
cheanglan nasc
cheanglan theagmhálacha
cheann-a-tuath thuaisceart
cheers cheers
cheisd cheist
cheisde cheiste
cheisdean cheisteanna
cheist cheist
cheiste cheiste
cheistean cheisteanna
cheithear cheathair
cheitheir cheathair
cheithir cheathair
cheithir-cheàrnach cheathairshleasach
cheithir-cheàrnach cheathairshleasacha
cheithir-cheàrnach cheathairshleasán
cheithir-cheàrnaich cheathairshleasaigh
cheithir-cheàrnaich cheathairshleasáin
cheithir-cheàrnaich cheathairshleasán
cheithir-cheàrnaiche cheathairshleasaí
cheithre cheathair
cheudna chéanna
cheuim chéime
cheum chéim
cheuma chéime
cheuman chéimeanna
cheumanan chéimeanna
cheumannan chéimeanna
chiad chéad
chiad chéid
chiadan chéadta
chiadna chéanna
child child
children children
chinn-a-tuath thuaiscirt
chionns cionn is
chitheadh d'fheicfeadh
chitheadh fheicfeadh
chitheamaid d'fheicfimis
chitheamaid fheicfimis
chithear bhfeicfear
chithear feicfear
chithear fheicfear
chithinn d'fheicfinn
chithinn fheicfinn
chlann chlann
chlas rang
chlas ranga
chlasaichean ranganna
chlasaigeach chlasaiceach
chlasaigeach chlasaiceacha
chlasaigich chlasaiceach
chlasaigich chlasaicigh
chlasaigiche chlasaicí
chleòca chlóca
chleòcan chlócaí
chli chlé
chliabhaireachd chaoladóireacht
chliabhaireachd chaoladóireachta
chloinne chlainne
chlub chlub
chluba chlub
chlubaichean chlubanna
chluinn chluin
chluinneadh chluineadh
chluinneadh chluinfeadh
chluinneam chluinim
chluinneamaid chluinfimis
chluinneamaid chluinimis
chluinnear chluinfear
chluinnear chluintear
chluinnear gcluinfear
chluinneas chluinfidh
chluinneas cluinfidh
chluinneas gcluinfidh
chluinnibh chluinigí
chluinnidh chluinfidh
chluinninn chluinfinn
chluinnte chluinte
chluinntinn chloisteáil
chluinntinn chloisteála
chluintinn chloisteáil
chluintinn chloisteála
chlàir-aithe phróifíle
chlàir-aithne phróifíle
chlàir-ama amchláir
chlàr-aithe phróifíl
chlàr-aithne phróifíl
chlàr-ama amchlár
chlàrachadh chlárú
chlàrachaidh chláraithe
chlàraich chláraigh
chlàraich gcláraigh
chlàraicheadh chláraíodh
chlàraicheadh chláródh
chlàraicheadh cláraíodh
chlàraicheadh gcláraíodh
chlàraicheam chláraím
chlàraicheamaid chláraímis
chlàraicheamaid chláróimis
chlàraichear chláraítear
chlàraichear chlárófar
chlàraichear gclárófar
chlàraicheas chláróidh
chlàraicheas cláróidh
chlàraicheas gcláróidh
chlàraichibh chláraígí
chlàraichidh chláróidh
chlàraichinn chláróinn
chlàraichte chláraithe
chlàran-aithe phróifílí
chlàran-aithne phróifílí
chlàran-ama amchláir
chlàran-ama amchlár
chlàs chlás
chlàs chlásal
chlàsa chláis
chlàsa chlásail
chlàsan chlásail
chlàsan chlásal
chlàsan chlásanna
chlì chlé
chlòca chlóca
chlòcachan chlócaí
cho chomh
cho-thiomsach chomhthiomsaitheach
cho-thiomsach chomhthiomsaitheacha
cho-thiomsaich chomhthiomsaithigh
cho-thiomsaiche chomhthiomsaithí
cho-thionndadh dheilín
cho-thionndaidh dheilín
cho-thionndaidhean dheilíní
choilean chomhlíon
choilean gcomhlíon
choileanadh chomhlíonadh
choileanadh chomhlíonfadh
choileanadh comhlíonadh
choileanadh gcomhlíonadh
choileanaibh chomhlíonaigí
choileanaidh chomhlíonfaidh
choileanaidh chomhlíonta
choileanainn chomhlíonfainn
choileanam chomhlíonaim
choileanamaid chomhlíonaimis
choileanamaid chomhlíonfaimis
choileanar chomhlíonfar
choileanar chomhlíontar
choileanar gcomhlíonfar
choileanas chomhlíonfaidh
choileanas comhlíonfaidh
choileanas gcomhlíonfaidh
choileanta chomhlíonta
choilion chomhlíon
choilion gcomhlíon
choilionadh chomhlíonadh
choilionadh chomhlíonfadh
choilionadh comhlíonadh
choilionadh gcomhlíonadh
choilionaibh chomhlíonaigí
choilionaidh chomhlíonfaidh
choilionaidh chomhlíonta
choilionainn chomhlíonfainn
choilionam chomhlíonaim
choilionamaid chomhlíonaimis
choilionamaid chomhlíonfaimis
choilionar chomhlíonfar
choilionar chomhlíontar
choilionar gcomhlíonfar
choilionas chomhlíonfaidh
choilionas comhlíonfaidh
choilionas gcomhlíonfaidh
choilionta chomhlíonta
choimhead amharc
choimhead bhféach
choimhead bhreathnaigh
choimhead bhreathnú
choimhead d'amharc
choimhead d'fhéach
choimhead fhéach
choimhead mbreathnaigh
choimhead n-amharc
choimheadadh amharcadh
choimheadadh amharcfadh
choimheadadh bhféachadh
choimheadadh bhreathnaíodh
choimheadadh bhreathnódh
choimheadadh bhreathnú
choimheadadh breathnaíodh
choimheadadh d'amharcfadh
choimheadadh d'fhéachfadh
choimheadadh fhéachadh
choimheadadh fhéachfadh
choimheadadh féachadh
choimheadadh mbreathnaíodh
choimheadadh n-amharcadh
choimheadaibh amharcaigí
choimheadaibh bhreathnaígí
choimheadaibh fhéachaigí
choimheadaidh amharcfaidh
choimheadaidh bhreathnaithe
choimheadaidh bhreathnóidh
choimheadaidh fhéachfaidh
choimheadainn amharcfainn
choimheadainn bhreathnóinn
choimheadainn d'amharcfainn
choimheadainn d'fhéachfainn
choimheadainn fhéachfainn
choimheadam amharcaim
choimheadam bhreathnaím
choimheadam fhéachaim
choimheadamaid amharcaimis
choimheadamaid amharcfaimis
choimheadamaid bhreathnaímis
choimheadamaid bhreathnóimis
choimheadamaid d'amharcfaimis
choimheadamaid d'fhéachfaimis
choimheadamaid fhéachaimis
choimheadamaid fhéachfaimis
choimheadar amharcfar
choimheadar amharctar
choimheadar bhféachfar
choimheadar bhreathnaítear
choimheadar bhreathnófar
choimheadar fhéachfar
choimheadar fhéachtar
choimheadar mbreathnófar
choimheadar n-amharcfar
choimheadas amharcfaidh
choimheadas bhféachfaidh
choimheadas bhreathnóidh
choimheadas breathnóidh
choimheadas fhéachfaidh
choimheadas féachfaidh
choimheadas mbreathnóidh
choimheadas n-amharcfaidh
choimheadta amharctha
choimheadta bhreathnaithe
choimheadta fhéachta
choimhid amhairc
choimhid bhreathnaithe
choimhlion chomhlíon
choimhlion gcomhlíon
choimhlionadh chomhlíonadh
choimhlionadh chomhlíonfadh
choimhlionadh comhlíonadh
choimhlionadh gcomhlíonadh
choimhlionaibh chomhlíonaigí
choimhlionaidh chomhlíonfaidh
choimhlionaidh chomhlíonta
choimhlionainn chomhlíonfainn
choimhlionam chomhlíonaim
choimhlionamaid chomhlíonaimis
choimhlionamaid chomhlíonfaimis
choimhlionar chomhlíonfar
choimhlionar chomhlíontar
choimhlionar gcomhlíonfar
choimhlionas chomhlíonfaidh
choimhlionas comhlíonfaidh
choimhlionas gcomhlíonfaidh
choimhlionta chomhlíonta
choimhliontadh chomhlíonadh
choimhliontaidh chomhlíonta
choireall thríleach
choirill thríleach
choirill thríligh
chomataidh choiste
chomataidhean choistí
chomh chomh
chomhlion chomhlíon
chomhlion gcomhlíon
chomhlionadh chomhlíonadh
chomhlionadh chomhlíonfadh
chomhlionadh comhlíonadh
chomhlionadh gcomhlíonadh
chomhlionaibh chomhlíonaigí
chomhlionaidh chomhlíonfaidh
chomhlionaidh chomhlíonta
chomhlionainn chomhlíonfainn
chomhlionam chomhlíonaim
chomhlionamaid chomhlíonaimis
chomhlionamaid chomhlíonfaimis
chomhlionar chomhlíonfar
chomhlionar chomhlíontar
chomhlionar gcomhlíonfar
chomhlionas chomhlíonfaidh
chomhlionas comhlíonfaidh
chomhlionas gcomhlíonfaidh
chomhlionta chomhlíonta
chomhlìon chomhlíon
chomhlìon gcomhlíon
chomhlìonadh chomhlíonadh
chomhlìonadh chomhlíonfadh
chomhlìonadh comhlíonadh
chomhlìonadh gcomhlíonadh
chomhlìonaibh chomhlíonaigí
chomhlìonaidh chomhlíonfaidh
chomhlìonaidh chomhlíonta
chomhlìonainn chomhlíonfainn
chomhlìonam chomhlíonaim
chomhlìonamaid chomhlíonaimis
chomhlìonamaid chomhlíonfaimis
chomhlìonar chomhlíonfar
chomhlìonar chomhlíontar
chomhlìonar gcomhlíonfar
chomhlìonas chomhlíonfaidh
chomhlìonas comhlíonfaidh
chomhlìonas gcomhlíonfaidh
chomhlìonta chomhlíonta
chontae chontae
chorpais chorpais
chorpas chorpas
chorpasan chorpais
chorpasan chorpas
chraic chraic
chraice chraice
chruthachadh chruthú
chruthachaidh chruthaithe
chruthaich chruthaigh
chruthaich gcruthaigh
chruthaicheadh chruthaíodh
chruthaicheadh chruthódh
chruthaicheadh cruthaíodh
chruthaicheadh gcruthaíodh
chruthaicheam chruthaím
chruthaicheamaid chruthaímis
chruthaicheamaid chruthóimis
chruthaichear chruthaítear
chruthaichear chruthófar
chruthaichear gcruthófar
chruthaicheas chruthóidh
chruthaicheas cruthóidh
chruthaicheas gcruthóidh
chruthaichibh chruthaígí
chruthaichidh chruthóidh
chruthaichinn chruthóinn
chruthaichte chruthaithe
chuala chuala
chuala gcuala
chualadh chualathas
chualadh gcualathas
chucaidh fhianáin
chucaidh fhianán
chucaidhean fhianáin
chucaidhean fhianán
chuideachadh chuidiú
chuideachaidh chuidithe
chuideachd chomhluadair
chuideachd chomhluadar
chuideachd chuideachta
chuideachda chomhluadair
chuideachda chomhluadar
chuideachda chuideachta
chuidich chuidigh
chuidich gcuidigh
chuidicheadh chuideodh
chuidicheadh chuidíodh
chuidicheadh cuidíodh
chuidicheadh gcuidíodh
chuidicheam chuidím
chuidicheamaid chuideoimis
chuidicheamaid chuidímis
chuidichear chuideofar
chuidichear chuidítear
chuidichear gcuideofar
chuidicheas chuideoidh
chuidicheas cuideoidh
chuidicheas gcuideoidh
chuidichibh chuidígí
chuidichidh chuideoidh
chuidichinn chuideoinn
chuidichte chuidithe
chuir chuir
chuir gcuir
chuireadh chuireadh
chuireadh chuirfeadh
chuireadh cuireadh
chuireadh gcuireadh
chuiream chuirim
chuireamaid chuirfimis
chuireamaid chuirimis
chuirear chuirfear
chuirear chuirtear
chuirear gcuirfear
chuireas chuirfidh
chuireas cuirfidh
chuireas gcuirfidh
chuiribh chuirigí
chuiridh chuirfidh
chuirinn chuirfinn
chuirte churtha
chultair chultúir
chultar chultúr
chultarach chultúrtha
chultaraich chultúrtha
chultaraiche chultúrtha
chultarail chultúrtha
chultaraile chultúrtha
chultaral chultúrtha
chultaran chultúir
chultaran chultúr
chultuir chultúir
chultur chultúr
chulturach chultúrtha
chulturaich chultúrtha
chulturaiche chultúrtha
chulturan chultúir
chulturan chultúr
chumail choinneáil
chumaladh choinneála
chunnacadh chonacthas
chunnacadh gconacthas
chunnaic chonaic
chunnaic gconaic
chàirdean chairde
chànain theanga
chànaine theanga
chànainean theangacha
chànan theanga
chànanan theangacha
chèim chéime
chéad chéad
chì bhfeicfidh
chì feicfidh
chì fheicfidh
ciad céad
ciad céid
ciad gcéad
ciad gcéid
ciadan céadta
ciadan gcéadta
ciadna céanna
cinn-a-tuath dtuaiscirt
cinn-a-tuath tuaiscirt
citheadh bhfeicfeadh
citheamaid bhfeicfimis
cithinn bhfeicfinn
civillisation civillisation
clann clann
clann gclann
clas rang
clas ranga
clasaichean ranganna
clasaigeach clasaiceach
clasaigeach clasaiceacha
clasaigeach gclasaiceach
clasaigich clasaiceach
clasaigich clasaicigh
clasaigich gclasaiceach
clasaigich gclasaicigh
clasaigiche clasaicí
clasrùm seomra ranga
class class
classes classes
cleòca clóca
cleòca gclóca
cleòcan clócaí
cleòcan gclócaí
cli clé
cliabhaireachd caoladóireacht
cliabhaireachd caoladóireachta
cliabhaireachd gcaoladóireacht
cliabhaireachd gcaoladóireachta
cloinne clainne
cloinne gclainne
close close
club club
club gclub
club-òigridh club óige
cluba club
cluba gclub
clubaichean clubanna
clubaichean gclubanna
cluinn cluin
cluinn gcluin
cluinneadh cluineadh
cluinneadh gcluineadh
cluinneadh gcluinfeadh
cluinneam cluinim
cluinneam gcluinim
cluinneamaid cluinimis
cluinneamaid gcluinfimis
cluinneamaid gcluinimis
cluinnear cluinfear
cluinnear cluintear
cluinnear gcluintear
cluinnibh cluinigí
cluinnibh gcluinigí
cluinnidh cluinfidh
cluinnidh gcluinfidh
cluinninn gcluinfinn
cluinnte cluinte
cluinntinn cloisteáil
cluinntinn cloisteála
cluinntinn gcloisteáil
cluinntinn gcloisteála
cluintinn cloisteáil
cluintinn cloisteála
cluintinn gcloisteáil
cluintinn gcloisteála
clàir-aithe bpróifíle
clàir-aithe próifíle
clàir-aithne bpróifíle
clàir-aithne próifíle
clàir-ama amchláir
clàir-ama d'amchláir
clàir-ama hamchláir
clàir-ama m'amchláir
clàir-ama n-amchláir
clàr-aithe bpróifíl
clàr-aithe próifíl
clàr-aithne bpróifíl
clàr-aithne próifíl
clàr-ama amchlár
clàr-ama b'amchlár
clàr-ama d'amchlár
clàr-ama hamchlár
clàr-ama m'amchlár
clàr-ama n-amchlár
clàr-ama t-amchlár
clàrachadh clárú
clàrachadh gclárú
clàrachaidh cláraithe
clàrachaidh gcláraithe
clàraich cláraigh
clàraich gcláraigh
clàraicheadh cláraíodh
clàraicheadh gcláraíodh
clàraicheadh gcláródh
clàraicheam cláraím
clàraicheam gcláraím
clàraicheamaid cláraímis
clàraicheamaid gcláraímis
clàraicheamaid gcláróimis
clàraichear cláraítear
clàraichear clárófar
clàraichear gcláraítear
clàraichibh cláraígí
clàraichibh gcláraígí
clàraichidh cláróidh
clàraichidh gcláróidh
clàraichinn gcláróinn
clàraichte cláraithe
clàran-aithe bpróifílí
clàran-aithe próifílí
clàran-aithne bpróifílí
clàran-aithne próifílí
clàran-ama amchláir
clàran-ama amchlár
clàran-ama b'amchláir
clàran-ama d'amchláir
clàran-ama d'amchlár
clàran-ama hamchláir
clàran-ama hamchlár
clàran-ama m'amchláir
clàran-ama m'amchlár
clàran-ama n-amchláir
clàran-ama n-amchlár
clàs clás
clàs clásal
clàs gclás
clàs gclásal
clàsa cláis
clàsa clásail
clàsa gcláis
clàsa gclásail
clàsan clásail
clàsan clásal
clàsan clásanna
clàsan gclásail
clàsan gclásal
clàsan gclásanna
clì clé
clòca clóca
clòca gclóca
clòcachan clócaí
clòcachan gclócaí
cm cm
co-dhiù ar aon nós
co-ordination co-ordination
co-thiomsach comhthiomsaitheach
co-thiomsach comhthiomsaitheacha
co-thiomsaich comhthiomsaithigh
co-thiomsaiche comhthiomsaithí
co-thionndadh deilín
co-thionndadh ndeilín
co-thionndaidh deilín
co-thionndaidh ndeilín
co-thionndaidhean deilíní
co-thionndaidhean ndeilíní
coffee coffee
coilean comhlíon
coilean gcomhlíon
coileanadh comhlíonadh
coileanadh gcomhlíonadh
coileanadh gcomhlíonfadh
coileanaibh comhlíonaigí
coileanaibh gcomhlíonaigí
coileanaidh comhlíonfaidh
coileanaidh comhlíonta
coileanaidh gcomhlíonfaidh
coileanaidh gcomhlíonta
coileanainn gcomhlíonfainn
coileanam comhlíonaim
coileanam gcomhlíonaim
coileanamaid comhlíonaimis
coileanamaid gcomhlíonaimis
coileanamaid gcomhlíonfaimis
coileanar comhlíonfar
coileanar comhlíontar
coileanar gcomhlíontar
coileanta comhlíonta
coilion comhlíon
coilion gcomhlíon
coilionadh comhlíonadh
coilionadh gcomhlíonadh
coilionadh gcomhlíonfadh
coilionaibh comhlíonaigí
coilionaibh gcomhlíonaigí
coilionaidh comhlíonfaidh
coilionaidh comhlíonta
coilionaidh gcomhlíonfaidh
coilionaidh gcomhlíonta
coilionainn gcomhlíonfainn
coilionam comhlíonaim
coilionam gcomhlíonaim
coilionamaid comhlíonaimis
coilionamaid gcomhlíonaimis
coilionamaid gcomhlíonfaimis
coilionar comhlíonfar
coilionar comhlíontar
coilionar gcomhlíontar
coilionta comhlíonta
coimhead amharc
coimhead b'amharc
coimhead bhféach
coimhead breathnaigh
coimhead breathnú
coimhead d'amharc
coimhead féach
coimhead hamharc
coimhead m'amharc
coimhead mbreathnaigh
coimhead mbreathnú
coimhead n-amharc
coimhead t-amharc
coimheadadh amharcadh
coimheadadh bhféachadh
coimheadadh bhféachfadh
coimheadadh breathnaíodh
coimheadadh breathnú
coimheadadh féachadh
coimheadadh hamharcadh
coimheadadh mbreathnaíodh
coimheadadh mbreathnódh
coimheadadh mbreathnú
coimheadadh n-amharcadh
coimheadadh n-amharcfadh
coimheadaibh amharcaigí
coimheadaibh bhféachaigí
coimheadaibh breathnaígí
coimheadaibh féachaigí
coimheadaibh hamharcaigí
coimheadaibh mbreathnaígí
coimheadaibh n-amharcaigí
coimheadaidh amharcfaidh
coimheadaidh bhféachfaidh
coimheadaidh breathnaithe
coimheadaidh breathnóidh
coimheadaidh féachfaidh
coimheadaidh mbreathnaithe
coimheadaidh mbreathnóidh
coimheadaidh n-amharcfaidh
coimheadainn bhféachfainn
coimheadainn mbreathnóinn
coimheadainn n-amharcfainn
coimheadam amharcaim
coimheadam bhféachaim
coimheadam breathnaím
coimheadam féachaim
coimheadam mbreathnaím
coimheadam n-amharcaim
coimheadamaid amharcaimis
coimheadamaid bhféachaimis
coimheadamaid bhféachfaimis
coimheadamaid breathnaímis
coimheadamaid féachaimis
coimheadamaid mbreathnaímis
coimheadamaid mbreathnóimis
coimheadamaid n-amharcaimis
coimheadamaid n-amharcfaimis
coimheadar amharcfar
coimheadar amharctar
coimheadar bhféachtar
coimheadar breathnaítear
coimheadar breathnófar
coimheadar féachfar
coimheadar féachtar
coimheadar hamharctar
coimheadar mbreathnaítear
coimheadar n-amharctar
coimheadta amharctha
coimheadta b'amharctha
coimheadta b'fhéachta
coimheadta breathnaithe
coimheadta féachta
coimheadta hamharctha
coimhid amhairc
coimhid breathnaithe
coimhid d'amhairc
coimhid hamhairc
coimhid m'amhairc
coimhid mbreathnaithe
coimhid n-amhairc
coimhlion comhlíon
coimhlion gcomhlíon
coimhlionadh comhlíonadh
coimhlionadh gcomhlíonadh
coimhlionadh gcomhlíonfadh
coimhlionaibh comhlíonaigí
coimhlionaibh gcomhlíonaigí
coimhlionaidh comhlíonfaidh
coimhlionaidh comhlíonta
coimhlionaidh gcomhlíonfaidh
coimhlionaidh gcomhlíonta
coimhlionainn gcomhlíonfainn
coimhlionam comhlíonaim
coimhlionam gcomhlíonaim
coimhlionamaid comhlíonaimis
coimhlionamaid gcomhlíonaimis
coimhlionamaid gcomhlíonfaimis
coimhlionar comhlíonfar
coimhlionar comhlíontar
coimhlionar gcomhlíontar
coimhlionta comhlíonta
coimhliontadh comhlíonadh
coimhliontadh gcomhlíonadh
coimhliontaidh comhlíonta
coimhliontaidh gcomhlíonta
coireall dtríleach
coireall tríleach
coirill dtríleach
coirill dtríligh
coirill tríleach
coirill tríligh
cold cold
collation collation
collection collection
comataidh coiste
comataidh gcoiste
comataidhean coistí
comataidhean gcoistí
come come
comes comes
comhlion comhlíon
comhlion gcomhlíon
comhlionadh comhlíonadh
comhlionadh gcomhlíonadh
comhlionadh gcomhlíonfadh
comhlionaibh comhlíonaigí
comhlionaibh gcomhlíonaigí
comhlionaidh comhlíonfaidh
comhlionaidh comhlíonta
comhlionaidh gcomhlíonfaidh
comhlionaidh gcomhlíonta
comhlionainn gcomhlíonfainn
comhlionam comhlíonaim
comhlionam gcomhlíonaim
comhlionamaid comhlíonaimis
comhlionamaid gcomhlíonaimis
comhlionamaid gcomhlíonfaimis
comhlionar comhlíonfar
comhlionar comhlíontar
comhlionar gcomhlíontar
comhlionta comhlíonta
comhlìon comhlíon
comhlìon gcomhlíon
comhlìonadh comhlíonadh
comhlìonadh gcomhlíonadh
comhlìonadh gcomhlíonfadh
comhlìonaibh comhlíonaigí
comhlìonaibh gcomhlíonaigí
comhlìonaidh comhlíonfaidh
comhlìonaidh comhlíonta
comhlìonaidh gcomhlíonfaidh
comhlìonaidh gcomhlíonta
comhlìonainn gcomhlíonfainn
comhlìonam comhlíonaim
comhlìonam gcomhlíonaim
comhlìonamaid comhlíonaimis
comhlìonamaid gcomhlíonaimis
comhlìonamaid gcomhlíonfaimis
comhlìonar comhlíonfar
comhlìonar comhlíontar
comhlìonar gcomhlíontar
comhlìonta comhlíonta
coming coming
comment comment
commented commented
competition competition
completed completed
composition composition
computation computation
concentration concentration
concert concert
condition condition
conference conference
construction construction
consultation consultation
contact contact
contae contae
conversation conversation
cool cool
corpais corpais
corpais gcorpais
corpas corpas
corpas gcorpas
corpasan corpais
corpasan corpas
corpasan gcorpais
corpasan gcorpas
corra-uair corruair
correct correct
corroboration corroboration
could could
coup coup
couple couple
course course
craic craic
craic gcraic
craice craice
craice gcraice
cruthachadh cruthú
cruthachadh gcruthú
cruthachaidh cruthaithe
cruthachaidh gcruthaithe
cruthaich cruthaigh
cruthaich gcruthaigh
cruthaicheadh cruthaíodh
cruthaicheadh gcruthaíodh
cruthaicheadh gcruthódh
cruthaicheam cruthaím
cruthaicheam gcruthaím
cruthaicheamaid cruthaímis
cruthaicheamaid gcruthaímis
cruthaicheamaid gcruthóimis
cruthaichear cruthaítear
cruthaichear cruthófar
cruthaichear gcruthaítear
cruthaichibh cruthaígí
cruthaichibh gcruthaígí
cruthaichidh cruthóidh
cruthaichidh gcruthóidh
cruthaichinn gcruthóinn
cruthaichte cruthaithe
cucaidh b'fhianán
cucaidh bhfianáin
cucaidh bhfianán
cucaidh d'fhianáin
cucaidh d'fhianán
cucaidh fianáin
cucaidh fianán
cucaidh m'fhianáin
cucaidh m'fhianán
cucaidhean b'fhianáin
cucaidhean bhfianáin
cucaidhean bhfianán
cucaidhean d'fhianáin
cucaidhean d'fhianán
cucaidhean fianáin
cucaidhean fianán
cucaidhean m'fhianáin
cucaidhean m'fhianán
cuideach fosta
cuideach freisin
cuideachadh cuidiú
cuideachadh gcuidiú
cuideachaidh cuidithe
cuideachaidh gcuidithe
cuideachd comhluadair
cuideachd comhluadar
cuideachd cuideachta
cuideachd fosta
cuideachd freisin
cuideachd gcomhluadair
cuideachd gcomhluadar
cuideachd gcuideachta
cuideachda comhluadair
cuideachda comhluadar
cuideachda cuideachta
cuideachda gcomhluadair
cuideachda gcomhluadar
cuideachda gcuideachta
cuidich cuidigh
cuidich gcuidigh
cuidicheadh cuidíodh
cuidicheadh gcuideodh
cuidicheadh gcuidíodh
cuidicheam cuidím
cuidicheam gcuidím
cuidicheamaid cuidímis
cuidicheamaid gcuideoimis
cuidicheamaid gcuidímis
cuidichear cuideofar
cuidichear cuidítear
cuidichear gcuidítear
cuidichibh cuidígí
cuidichibh gcuidígí
cuidichidh cuideoidh
cuidichidh gcuideoidh
cuidichinn gcuideoinn
cuidichte cuidithe
cuir cuir
cuir gcuir
cuireadh cuireadh
cuireadh gcuireadh
cuireadh gcuirfeadh
cuiream cuirim
cuiream gcuirim
cuireamaid cuirimis
cuireamaid gcuirfimis
cuireamaid gcuirimis
cuirear cuirfear
cuirear cuirtear
cuirear gcuirtear
cuiribh cuirigí
cuiribh gcuirigí
cuiridh cuirfidh
cuiridh gcuirfidh
cuirinn gcuirfinn
cuirte curtha
cultair cultúir
cultair gcultúir
cultar cultúr
cultar gcultúr
cultarach cultúrtha
cultaraich cultúrtha
cultaraiche cultúrtha
cultarail cultúrtha
